Time [hr];Sublimation Temperature [C];Vial Bottom Temperature [C];Shelf Temperature [C];Chamber Pressure [mTorr];Sublimation Flux [kg/hr/m^2];Percent Dried
1.18;-7.389973537539641;-5.000000000000061;104.04653054549513;150.0;2.80497220479736;61.42371698053323
1.19;-7.3549431957966895;-4.999999999999903;103.73228543966476;150.0;2.796888969292858;61.87928315586411
1.2;-7.320230772690725;-5.0000000000000595;103.4215153394934;150.0;2.788895120348675;62.33353650225616
1.21;-7.28583165017144;-4.999999999999884;103.11420632878398;150.0;2.7809903000026783;62.78649153731968
1.22;-7.251739556125292;-5.000000000000056;102.81025839318804;150.0;2.773171935614717;63.238162720527015
1.23;-7.217949063282747;-5.000000000000049;102.50960956552149;150.0;2.7654384332208997;63.68856409351823
1.24;-7.1844549279557794;-4.999999999999961;102.21219877339297;150.0;2.7577882218739083;64.13770943905169
1.25;-7.151252007882373;-5.000000000000002;101.91796658257769;150.0;2.750219772764425;64.58561228474224
1.26;-7.118335294876469;-4.9999999999999645;101.62685486679199;150.0;2.742731590727078;65.03228590990501
1.27;-7.085699903500673;-4.999999999999989;101.33880696633388;150.0;2.7353222183206936;65.47774335101965
1.28;-7.053341067807819;-4.999999999999967;101.05376750131394;150.0;2.7279902310245148;65.92199740785726
1.29;-7.021254138748274;-4.999999999999989;100.77168251118522;150.0;2.7207342408270874;66.3650606488271
1.3;-6.9894345803226114;-5.000000000000043;100.49249937201361;150.0;2.7135528940982465;66.80694541690626
1.31;-6.9578779664643795;-4.999999999999937;100.21616676678589;150.0;2.7064448708253757;67.24766383522359
1.32;-6.926579978051255;-5.000000000000091;99.94263466346817;150.0;2.6994088840490194;67.68722781251971
1.33;-6.8955363994641585;-4.999999999999999;99.67185427690245;150.0;2.6924436788827304;68.12564904851526
1.34;-6.864743115419966;-4.999999999999988;99.40377803122459;150.0;2.6855480315463938;68.56293903912001
1.35;-6.8341961076778945;-4.9999999999999405;99.13835952348612;150.0;2.678720748430452;68.99910908148496
1.36;-6.80389145255574;-5.00000000000002;98.87555348457242;150.0;2.6719606650906327;69.43417027890246
1.37;-6.7738253174940395;-4.999999999999962;98.61531574003111;150.0;2.6652666452403344;69.86813354554303
1.3800000000000001;-6.743993958132328;-5.000000000000016;98.35760318382788;150.0;2.6586375800755726;70.3010096110286
1.3900000000000001;-6.714393716213967;-5.000000000000061;98.10237374022923;150.0;2.6520723872944854;70.73280902489606
1.4000000000000001;-6.685021016598183;-5.0000000000000355;97.84958632687297;150.0;2.6455700101474093;71.16354216090147
1.41;-6.655872365125146;-5.000000000000013;97.5992008311348;150.0;2.6391294168289714;71.59321922117023
1.42;-6.626944345647834;-5.000000000000034;97.3511780825824;150.0;2.6327495997695327;72.02185024024831
1.43;-6.598233618409072;-4.999999999999963;97.1054798149591;150.0;2.6264295746572905;72.44944508903848
1.44;-6.56973691720084;-4.9999999999999725;96.86206864912695;150.0;2.6201683799995505;72.87601347857765
1.45;-6.541451047664877;-5.000000000000004;96.62090806008577;150.0;2.613965076274351;73.30156496374308
1.46;-6.513372885007449;-4.999999999999968;96.38196235373174;150.0;2.607818745332632;73.72610894682074
1.47;-6.485499372068058;-4.9999999999999964;96.1451966424691;150.0;2.6017284897709145;74.14965468097648
1.48;-6.457827517383555;-4.999999999999993;95.91057682125958;150.0;2.595693432315211;74.57221127362547
1.49;-6.430354393364979;-5.000000000000043;95.67806954504692;150.0;2.589712715240334;74.99378768970149
1.5;-6.403077134432502;-5.000000000000005;95.44764220683953;150.0;2.5837854998061154;75.41439275483191
1.51;-6.37599293538617;-5.000000000000012;95.2192629163493;150.0;2.577910965707947;75.8340351584211
1.52;-6.349099049709809;-4.999999999999968;94.99290047988603;150.0;2.5720883105596033;76.2527234566447
1.53;-6.322392787864052;-5.000000000000031;94.76852438058503;150.0;2.5663167493846477;76.67046607535973
1.54;-6.295871515862819;-4.999999999999944;94.54610475914858;150.0;2.5605955141210393;77.0872713129322
1.55;-6.269532653703323;-5.000000000000021;94.32561239551768;150.0;2.554923853149703;77.50314734298428
1.56;-6.243373673898704;-4.9999999999999565;94.10701869094872;150.0;2.549301030833463;77.9181022170648
1.57;-6.21739210009089;-5.000000000000003;93.89029565267415;150.0;2.543726327122503;78.332143867245
1.58;-6.191585505824187;-5.000000000000015;93.6754158764659;150.0;2.538199037105828;78.74528010865006
1.59;-6.165951512867846;-4.999999999999998;93.46235252533832;150.0;2.532718470463457;79.15751864191793
1.6;-6.140487790416281;-5.000000000000029;93.25107932302811;150.0;2.5272839512987106;79.56886705556907
1.61;-6.1151920533682125;-5.000000000000014;93.0415705344811;150.0;2.521894817636269;79.97933282834896
1.62;-6.0900620615442085;-5.00000000000004;92.83380095156853;150.0;2.516550421054767;80.38892333148918
1.6300000000000001;-6.06509561855749;-4.999999999999987;92.62774587686789;150.0;2.511250126269581;80.79764583090878
1.6400000000000001;-6.040290570119477;-5.0000000000000036;92.42338111562155;150.0;2.505993310925999;81.20550748934772
1.6500000000000001;-6.015644803668725;-5.000000000000011;92.22068295758892;150.0;2.500779365132392;81.6125153684671
1.6600000000000001;-5.991156246867423;-4.999999999999991;92.0196281682421;150.0;2.495607691233752;82.01867643087307
1.67;-5.966822866806839;-5.000000000000015;91.82019397212795;150.0;2.4904777033837235;82.42399754210449
1.68;-5.942642668918516;-5.000000000000001;91.62235804572377;150.0;2.4853888273608167;82.8284854725506
1.69;-5.91861369604784;-5.000000000000024;91.42609850211538;150.0;2.480340500174304;83.2321468993392
1.7;-5.894734027548108;-5.000000000000072;91.23139388285487;150.0;2.4753321698547683;83.63498840816061
1.71;-5.871001778419981;-4.9999999999999885;91.03822314374364;150.0;2.4703632950884007;84.03701649505771
1.72;-5.847415098335301;-5.000000000000013;90.8465656483555;150.0;2.4654333450504176;84.43823756815655
1.73;-5.823972170883055;-4.999999999999961;90.65640115496163;150.0;2.460541799068707;84.83865794936992
1.74;-5.800671212749297;-5.0000000000000036;90.46770980741273;150.0;2.4556881463893165;85.23828387604624
1.75;-5.777510472896078;-5.000000000000035;90.28047212646533;150.0;2.4508718859533283;85.6371215025805
1.76;-5.754488231792633;-5.000000000000008;90.0946689995007;150.0;2.4460925261324045;86.03517690198879
1.77;-5.73160280069428;-5.000000000000102;89.91028167210212;150.0;2.44134958451214;86.43245606743996
1.78;-5.708852520896424;-5.00000000000009;89.72729173931603;150.0;2.4366425876672597;86.8289649137521
1.79;-5.686235763042392;-5.000000000000056;89.54568113707947;150.0;2.4319710709411266;87.22470927885254
1.8;-5.663750926436139;-5.000000000000006;89.36543213401993;150.0;2.4273345782347975;87.61969492520194
1.81;-5.641396438380578;-5.000000000000007;89.18652732374842;150.0;2.4227326618087934;88.01392754118422
1.82;-5.619170753534048;-5.000000000000082;89.00894961691412;150.0;2.4181648820787096;88.4074127424642
1.83;-5.5970723532805;-5.000000000000004;88.83268223384175;150.0;2.413630807425833;88.80015607331217
1.84;-5.575099745128584;-5.000000000000074;88.65770869716785;150.0;2.409130014007738;89.19216300789753
1.85;-5.5532514621143765;-5.000000000000037;88.48401282488501;150.0;2.4046620855793477;89.5834389515519
1.86;-5.531526062230383;-4.99999999999996;88.31157872342818;150.0;2.4002266133151116;89.9739892420029
1.87;-5.5099221278632555;-4.999999999999856;88.14039078101767;150.0;2.3958231956377563;90.36381915057923
1.8800000000000001;-5.488438265256677;-5.000000000000039;87.9704336611643;150.0;2.3914514380512393;90.75293388338798
1.8900000000000001;-5.467073103976775;-5.000000000000066;87.80169229644866;150.0;2.3871109529807;91.14133858246457
1.9000000000000001;-5.445825296403496;-4.9999999999999165;87.63415188232375;150.0;2.3828013596130786;91.52903832689697
1.9100000000000001;-5.424693517228588;-5.000000000000017;87.46779787122105;150.0;2.378522283745509;91.91603813392378
1.92;-5.403676399743501;-5.000000000000003;87.30260187025314;150.0;2.374272995036113;92.30234296000795
1.93;-5.382772808031079;-5.000000000000062;87.13858083437377;150.0;2.370053929612274;92.68795764299486
1.94;-5.361981394019847;-4.9999999999999964;86.97570349092658;150.0;2.365864283056088;93.07288709156292
1.95;-5.341300909500758;-5.000000000000017;86.813956474693;150.0;2.3617037115774577;93.45713608374203
1.96;-5.320730153714148;-4.999999999999993;86.65332638033523;150.0;2.357571870356857;93.84070934172581
1.97;-5.3002679091654405;-5.000000000000018;86.49380013305891;150.0;2.3534684230730996;94.22361153170448
1.98;-5.2799129950372246;-5.000000000000047;86.33536504445647;150.0;2.3493930433473804;94.60584726524496
1.99;-5.25966426135293;-4.9999999999999964;86.17800841531044;150.0;2.3453454045202564;94.98742110090586
2.0;-5.239520555142699;-5.000000000000056;86.021717671849;150.0;2.3413251831603827;95.36833754419175
2.0100000000000002;-5.219480749424137;-4.99999999999999;85.86648066358629;150.0;2.3373320667252804;95.74860104807745
2.02;-5.199543730655217;-5.0;85.71228537463334;150.0;2.3333657461329533;96.12821601477663
2.0300000000000002;-5.179708415931535;-5.0000000000000115;85.55911987759325;150.0;2.3294259145787963;96.50718679630373
2.04;-5.159973722095902;-4.999999999999988;85.40697260623685;150.0;2.325512274547583;96.88551769484393
2.05;-5.140338599593911;-4.999999999999979;85.25583194852095;150.0;2.3216245273467093;97.26321296426183
2.06;-5.120801997740772;-4.999999999999975;85.10568677326992;150.0;2.317762386651333;97.6402768099102
2.07;-5.101362897008774;-5.0000000000000275;84.95652583433373;150.0;2.313925563181252;98.01671339063876
2.08;-5.082020281925211;-5.000000000000088;84.80833825057385;150.0;2.3101137770430227;98.39252681831405
2.09;-5.062773158007849;-4.999999999999981;84.66111323870017;150.0;2.3063267508618375;98.76772115934415
2.1;-5.043620545296015;-4.999999999999998;84.51484019671636;150.0;2.302564211925355;99.14230043508756
2.11;-5.024561477671022;-4.999999999999966;84.36950870844079;150.0;2.298825892301093;99.51626862261061
2.12;-5.005595003268591;-4.999999999999962;84.22510849939839;150.0;2.295111527701634;99.88962965546365
2.122960913326873;-5.0000000000000355;-5.0000000000000355;84.18255420724138;150.0;2.294016916015256;100.0
